date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact
2022-11-06,shot,gun,20.0,M,H,Los Angeles,AZ,True,attack,Not fleeing,False,-83.663,37.472,True
2016-01-20,shot,gun,32.0,M,W,Albuquerque,ME,False,attack,Not fleeing,False,-86.043,38.879,True
2020-08-29,shot and Tasered,unarmed,56.0,M,B,San Antonio,NC,False,other,Not fleeing,False,-96.642,32.958,True
2020-07-12,shot,toy weapon,52.0,F,B,Phoenix,FL,True,attack,Not fleeing,False,-82.765,28.15,True
2019-04-29,shot,nail gun,19.0,M,B,Atlanta,MS,False,attack,Not fleeing,False,-93.746,32.492,True
2017-10-19,shot,gun,28.0,M,W,Boise,CT,False,attack,Not fleeing,False,-81.512,27.426,True
2015-02-14,shot,gun,32.0,M,B,Bakersfield,WI,False,attack,Car,False,-123.384,42.646,True
2015-07-23,shot,gun,35.0,M,B,San Antonio,NY,False,attack,Not fleeing,False,-120.425,37.365,True
2015-10-02,shot,unarmed,24.0,M,B,Houston,OK,False,other,Not fleeing,True,-83.28,36.196,True
2018-01-26,shot,toy weapon,47.0,M,W,Phoenix,CA,False,attack,Not fleeing,False,-116.832,34.438,True
2016-07-23,shot and Tasered,knife,40.0,M,W,Phoenix,CA,False,attack,Not fleeing,False,-122.285,38.31,True
2021-06-08,shot,gun,34.0,M,W,Columbus,KS,False,attack,Not fleeing,False,-81.731,30.342,True
2019-02-12,shot,knife,31.0,F,W,Columbus,KS,True,other,Not fleeing,False,-93.012,44.963,True
2020-09-22,shot,gun,48.0,M,W,Jacksonville,AL,False,attack,Car,False,-84.268,33.854,True
2015-08-12,shot,gun,36.0,M,B,Los Angeles,TX,False,attack,Foot,True,-80.788,35.279,True
2018-01-22,shot,,46.0,M,W,Los Angeles,MI,False,undetermined,Not fleeing,False,-94.413,39.101,True
2020-06-13,shot,shovel,19.0,M,B,Jacksonville,AL,False,attack,Not fleeing,True,-90.153,29.984,True
2020-04-06,shot,unarmed,42.0,M,B,Los Angeles,TX,False,attack,Not fleeing,False,-104.912,39.731,True
2016-10-04,shot,gun,26.0,M,W,Charlotte,ID,False,attack,Not fleeing,True,-111.857,33.408,True
2015-05-14,shot,gun,36.0,M,W,Los Angeles,PA,False,attack,Not fleeing,False,-81.924,31.949,True
2020-06-13,shot,gun,30.0,M,B,San Antonio,NY,False,attack,Not fleeing,False,-83.266,30.871,True
2020-10-08,shot,gun,19.0,M,W,San Antonio,NC,True,attack,Not fleeing,False,-99.468,27.47,True
2018-05-12,shot,gun,30.0,M,N,Ashville,MN,False,attack,Not fleeing,False,-121.745,37.22,True
2015-04-25,shot and Tasered,gun,43.0,M,W,Los Angeles,PA,False,attack,Foot,False,-117.269,32.977,True
2018-06-25,shot,gun,30.0,M,W,Houston,TN,False,attack,Foot,True,-78.525,38.026,True
2021-09-27,shot,knife,50.0,M,B,Los Angeles,AZ,True,other,Not fleeing,False,-114.04,35.213,True
2019-12-31,shot,,36.0,M,H,Chicago,NM,False,attack,Not fleeing,False,-88.267,30.834,True
2022-09-28,shot,,23.0,M,W,Jacksonville,IN,False,attack,Not fleeing,False,-86.594,36.267,True
2015-10-10,shot,gun,42.0,M,B,Jacksonville,AL,True,attack,Not fleeing,False,-106.586,35.081,True
2018-12-05,shot,knife,37.0,M,H,Phoenix,FL,False,attack,Not fleeing,False,-71.878,42.056,True
2022-08-27,shot,gun,37.0,M,H,Los Angeles,TX,False,attack,Not fleeing,False,-75.821,39.599,True
2019-03-06,shot,knife,38.0,M,B,Orlando,KY,False,attack,Not fleeing,True,-95.94,41.272,True
2015-07-07,shot,gun,32.0,F,W,Orlando,KY,False,attack,Foot,False,-82.341,29.612,True
2018-08-01,shot,gun,29.0,M,H,Phoenix,FL,False,attack,Not fleeing,False,-112.074,33.488,True
2017-01-18,shot,gun,59.0,M,W,Los Angeles,TX,True,attack,Not fleeing,False,-89.522,34.335,True
2019-08-09,shot,knife,49.0,M,W,San Antonio,NY,True,other,Not fleeing,False,-118.188,33.971,True
2016-05-21,shot,gun,54.0,M,W,Phoenix,FL,False,attack,Not fleeing,False,-121.98,38.354,True
2020-01-19,shot,gun,44.0,M,H,Los Angeles,AZ,False,attack,Car,False,-79.839,40.397,True
2019-11-05,shot and Tasered,knife,29.0,M,W,Phoenix,MO,False,other,Not fleeing,False,-111.841,33.254,True
2016-11-01,shot,gun,41.0,M,H,Los Angeles,AZ,False,attack,Foot,True,-121.998,45.359,True
2017-05-02,shot,gun,32.0,M,B,Las Vegas,MD,False,attack,Not fleeing,False,-95.53,30.027,True
2017-08-04,shot,knife,37.0,M,W,Boise,CT,False,attack,Not fleeing,False,-93.764,32.437,True
2016-02-02,shot,gun,46.0,M,B,Los Angeles,LA,True,attack,Not fleeing,False,-121.845,39.725,True
2015-10-15,shot and Tasered,gun,48.0,M,B,Arlington,AR,True,attack,Not fleeing,False,-118.263,34.042,True
