date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact
2022-11-06,shot,gun,20.0,M,H,Baltimore,AZ,True,attack,Not fleeing,False,-75.2967,33.7248,True
2016-01-20,shot,gun,32.0,M,W,Kerrville,ME,False,attack,Not fleeing,False,-77.43870000000001,34.991099999999996,True
2020-08-29,shot and Tasered,unarmed,56.0,M,B,Dearborn Heights,NC,False,other,Not fleeing,False,-86.9778,29.6622,True
2020-07-12,shot,toy weapon,52.0,F,B,Butler Township,FL,True,attack,Not fleeing,False,-74.4885,25.334999999999997,True
2019-04-29,shot,nail gun,19.0,M,B,Edmond,MS,False,attack,Not fleeing,False,-84.3714,29.242799999999995,True
2017-10-19,shot,gun,28.0,M,W,Kings Mountain,CT,False,attack,Not fleeing,False,-73.3608,24.6834,True
2015-02-14,shot,gun,32.0,M,B,Essex,WI,False,attack,Car,False,-111.04560000000001,38.3814,True
2015-07-23,shot,gun,35.0,M,B,Meadow Vista,NY,False,attack,Not fleeing,False,-108.3825,33.6285,True
2015-10-02,shot,unarmed,24.0,M,B,Amarillo,OK,False,other,Not fleeing,True,-74.952,32.5764,True
2018-01-26,shot,toy weapon,47.0,M,W,Alton,CA,False,attack,Not fleeing,False,-105.1488,30.994200000000003,True
2016-07-23,shot and Tasered,knife,40.0,M,W,Milwaukee,CA,False,attack,Not fleeing,False,-110.0565,34.479,True
2021-06-08,shot,gun,34.0,M,W,Columbus,KS,False,attack,Not fleeing,False,-73.55789999999999,27.3078,True
2019-02-12,shot,knife,31.0,F,W,Fresno,KS,True,other,Not fleeing,False,-83.7108,40.4667,True
2020-09-22,shot,gun,48.0,M,W,San Antonio,AL,False,attack,Car,False,-75.8412,30.4686,True
2015-08-12,shot,gun,36.0,M,B,Oakland,TX,False,attack,Foot,True,-72.7092,31.7511,True
2018-01-22,shot,,46.0,M,W,Pueblo,MI,False,undetermined,Not fleeing,False,-84.9717,35.1909,True
2020-06-13,shot,shovel,19.0,M,B,Palmdale,AL,False,attack,Not fleeing,True,-81.13770000000001,26.9856,True
2020-04-06,shot,unarmed,42.0,M,B,North Miami Beach,TX,False,attack,Not fleeing,False,-94.4208,35.7579,True
2016-10-04,shot,gun,26.0,M,W,Hessel,ID,False,attack,Not fleeing,True,-100.6713,30.0672,True
2015-05-14,shot,gun,36.0,M,W,St. Augustine,PA,False,attack,Not fleeing,False,-73.7316,28.7541,True
2020-06-13,shot,gun,30.0,M,B,Palmdale,NY,False,attack,Not fleeing,False,-74.9394,27.7839,True
2020-10-08,shot,gun,19.0,M,W,Wabash,NC,True,attack,Not fleeing,False,-89.52120000000001,24.723,True
2018-05-12,shot,gun,30.0,M,N,Columbus,MN,False,attack,Not fleeing,False,-109.57050000000001,33.498,True
2015-04-25,shot and Tasered,gun,43.0,M,W,Clermont,PA,False,attack,Foot,False,-105.5421,29.679299999999998,True
2018-06-25,shot,gun,30.0,M,W,Garland,TN,False,attack,Foot,True,-70.6725,34.223400000000005,True
2021-09-27,shot,knife,50.0,M,B,Auburn,AZ,True,other,Not fleeing,False,-102.63600000000001,31.6917,True
2019-12-31,shot,,36.0,M,H,Cross Lanes,NM,False,attack,Not fleeing,False,-79.4403,27.7506,True
