id,name,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact
3,b'gAAAAABl4lkM4X5WnZq3YgaotqFEHg_mZHO8kEqWeueacUqH3GJ8BQ7ep9UQqFjuGLIHrO0JZaKl0e-6k7wYCJak6-P0Y93vMQ==',2015-01-02,shot,gun,b'gAAAAABl4lkM0-k9wis3B2AllFC5YfCR46KeJ2yReojhLwGTiMxtJuL-2QqF0TBDYn-KhQmuEIs_LwUaVIOi8vpAnyGZbzPPog==',M,A,Shelton,WA,True,attack,Not fleeing,False,b'gAAAAABl4lkMFm5ygOLbvACZn0-hVLg7JUGW7VPhVeA8JYpYBsr_W4dZtz3sh7p0MAfcCo67VerUkIFejgoU-e43wffrlZL01w==',b'gAAAAABl4lkNDkYb5oS6mfj-E3eA6pznfmvQgOWIcoc8YKXXZ8FIgIEMeXTkYsV0LbD8oBQooN_vTdDCpemq2-QFcvX_p4QJrw==',True
4,b'gAAAAABl4lkMKpACCr405xrNeQm6metK6JDTiYd5hWiIqARED4OtPN3yA30MZ49p7VdxfXKxWFTdZQZARNllYAeYe72gAcQ8ei7ft3MooBq7KuHPqUSaECA=',2015-01-02,shot,gun,b'gAAAAABl4lkMYHhLNm5dKoPUeux9B_7PFFsHxuTJG-CF_FHjF0IlT0a5_CfwQHDC2xcDMFT3cp3kS-0ifrvsDrG5JBWZJMFuZw==',M,W,Aloha,OR,False,attack,Not fleeing,False,b'gAAAAABl4lkMYU2qVDYLR9eQXJbrYqGVAcmiyu6Y-aFTL98wVvdfFJlhDwGRpHtlPNXXjuDK3nyrYCgjweAXYxeMb35kN--HzA==',b'gAAAAABl4lkNPl6yH7NHHPCxlXSBGzr0pgQm_LPltMJz1Uo-h364qt8Rl2E7YT8yCh2Mz0fzql0SLQaFr2pXIeWNEz7lztbKvg==',True
5,b'gAAAAABl4lkMPuwlOkJyRX4CIbLL0j7iHTqvHuEJFY03KZ22Ts5iRis51YPt2PNy3v2MJ-suVevVfUSoZNo--zniPcDNITfXi6npKotneATSPxlO9nJ9LjA=',2015-01-03,shot and Tasered,unarmed,b'gAAAAABl4lkMujrv41oo7zyA6Hpt_lQX8wrANOdJA_RgRxbubDFRAHpOPid5ScZ9WaLmBIji1Bg8TLzpnAyuUE5QIfCWtgbwVg==',M,H,Wichita,KS,False,other,Not fleeing,False,b'gAAAAABl4lkMt5xtAXmYTQ22HuaKUAyGgEGMyakubaxynEmHO2HDvvijQaBZANPUdASk824yV2O9Tc2sag_PkdaE7I98pu_GYA==',b'gAAAAABl4lkNuPeurZSQ2CIrAOmF8M3KH50-yvFOLON9IcI_FP_SsG7fZ43K2lIHRlWypC139ky0JnpYcFSes-_Z98VXUZlcZw==',True
8,b'gAAAAABl4lkMXUcF5Rb17f7Dp3ONxt23C26YCVLjeF65slbOA_fyJRx-kXOG1j99edbFCfLPCjPEGaZ5pbGZ-cMtmfrnFu6FoQ==',2015-01-04,shot,toy weapon,b'gAAAAABl4lkM0fbJFTMWmi733ZXOXpREliB-TpDdprxNtmaQ7_wipvL-9NQK_0bbA0z0iDtiPEzx6Yqf8VgTCSNlKbewtxjE_w==',M,W,San Francisco,CA,True,attack,Not fleeing,False,b'gAAAAABl4lkMxTGyUm-2Ld5cGu7PvTk8OrbH2yXWYIedWFwxMMzKaRoOE13g06sIEqnngksmdKWonpBcaTzhxFyKOpjIDJ9JIQ==',b'gAAAAABl4lkN1mC_Lo6tBfCvADVlKFSPpqFhW5g8FYBPOVmSWzpoeuVcLgM-AV8fealFQVTuI74qm0SRbROLh-PXaPBbix5AsA==',True
9,b'gAAAAABl4lkMooGJh2bitscrh4z1xQjCLpMKM4TwAv5Ug-sKeAEB5fw6Tm_mWwMd0lgL9m2HgltlGCHQWVRK93DJ4LkxJFKPm78pZ6697zw-9vKavw3iCFQ=',2015-01-04,shot,nail gun,b'gAAAAABl4lkMhxhur1PFOeD-dkTQoXyL-33kYsJ8ATaBM6lMvc3XVhYs9TfmSgUVLMNGoDiSY6oiEXTEjihbeJfffsfKu1rrug==',M,H,Evans,CO,False,attack,Not fleeing,False,b'gAAAAABl4lkMQ__00TaVWDZYd4KRhKVnymCsdFQvkUrKDUWrbqBJsYb3rWxSfcUSNwxEg0ktKFn2Lmy2D6fpcWgVGea-lln3MA==',b'gAAAAABl4lkNlQT_f6hDeeHOqkLpW5-o1A811rmi0Efhh0HggzxfajrFXHCaux_X_nBA8XGm2fSCkE_yqoB6rKn-y0YB1QYz-Q==',True
11,b'gAAAAABl4lkMorc4WLA8MeMNOyUdH2mbYIxYwOqJnLmP6kAq2Ow5IclsV6IN-T0_cK21rzYITLRVJxIMBxsgiWqbMOT_nJp_wc1-2RVA0BjQACL36gheVXU=',2015-01-04,shot,gun,b'gAAAAABl4lkMtoTvt0Jxhaxk6excLGXRfACF2bK1XkOcimGI0-4PBJBMNR21fPKu5pP1v2nJbE_TTQBPK9tj9iuvesmdoxqTHA==',M,W,Guthrie,OK,False,attack,Not fleeing,False,b'gAAAAABl4lkMtFTUUG9e2DWydog5LrtwNZB6dBl9vZPS6mRCENy_JVhY8RQqiuJZ8EUU7xONoM5xY-_pivCdjWfRTJ1KQxVDYA==',b'gAAAAABl4lkNs2tHsmUTC-ibUFubUPw6vdHi8T7oAXZVQFtHnOUNqmeKZylX9_3eOEdDgHQNIYKkRu981O52o3W9T3Ps5fNv8A==',True
13,b'gAAAAABl4lkMT15F2xZ1cYhxWQrM3imj7uIRadBB7SFSzR_CUpd54rKAGb_pmK6fxobc5Eopu_wygFdSsWY_e1inhW1hVDYGJiUe7RLNbvxq0as7aLB8ynU=',2015-01-05,shot,gun,b'gAAAAABl4lkM7E8_OYh-CUIzEay656w5tG6S4Cz9jIvtbnQVXhaJxB9ZNgbPG-uE1w3oD9HsfeZGUEyR21oyGFO_2KFJ5-oMWw==',M,H,Chandler,AZ,False,attack,Car,False,b'gAAAAABl4lkMvoEAAJe1RlLNwpRJ7hGx8LzPk8OnBG2crYUuZF09EXRcVAkACPraWeCR8oplGwjNdRNfyCkFBy4hnsI-emZIIg==',b'gAAAAABl4lkNcBnfL44LxBPC2KkfrEPFBbinIGBqoqvlLWpa-F_enjyZod-V5B8pav-35t8sL9SFeHoQMSanP4uzcI_RRC7fqg==',True
15,b'gAAAAABl4lkMS2nk7eSyI--fagxkc78jmI5o5hmCUvatvDJg6ex4zjmfrjwi4SOj6_MWPqHtePh3CJrK1quh6LUS84pudZSn8w==',2015-01-06,shot,gun,b'gAAAAABl4lkM0AHHK-l5ylqkrKl9XYpYSz7DcKfFForHsY6_q1hbMt_CgaEdZa2L0W35cmjkLhKUBxNNWw3HQz_mgH8-cmJ-ew==',M,W,Assaria,KS,False,attack,Not fleeing,False,b'gAAAAABl4lkMfS0883iG_b3KvpzDDONsTyzByiOHAthBIarSIiz3YoBdCG-X53bfhJBP14nVXTAXt-cpqFsitJf-c-4AUjafzA==',b'gAAAAABl4lkNs3DB5fjMab0SbcD5sMhlCPSY579oahWWALAtSvOw5XEXp0fllS0puQDfwr0aV3wBK2IaqwHf0wncpLcyL6QjtA==',True
16,b'gAAAAABl4lkMzOLlb7xFoWG_KuK4H73zv4onZgRFkaRN21DFiNe6QrNrl6VNXXmwQ3smjIO9tw8xejy8ooYWKlvKkdR7EnunXA==',2015-01-06,shot,unarmed,b'gAAAAABl4lkMfewkRljUPU5gCS7IQ0EWSSWIEp45HoH-EHxWLD8QOLNzhuqG_ffeQYqfp8oFdP3hrfpm4tnZH7_kevw7LyffMw==',F,W,Burlington,IA,False,other,Not fleeing,True,b'gAAAAABl4lkMK4WiL3fV_q8kkr7N9GYt33xck3AwEj3Ys27gUOkY8lIvc6LnzPSahHs-BeRSrYaM_Pa77FmWztcypjWWPQGUWA==',b'gAAAAABl4lkNENRlw_BJ7xGz0pKTxG-wIPDmeQJEiyEhJ4GnH4pwl9EZ3tThLuMeTdNLqJg4f-8USKymZ7doQyfkTmupKcZ8bw==',True
17,b'gAAAAABl4lkMLhpOwaUZsbwJED1jX_fCZq6UCxQ2Qf8zY6IcTcF-iCt4UiKj84bCdvgf6sBr8s_IrZVIs2Plu4ImDuZNIPn3Og==',2015-01-06,shot,toy weapon,b'gAAAAABl4lkMDmj7kr-dstyoSbdPhDOk3w1uM9oTM6zfGsTYNMiwFqeKJv3VcSxV9umQ-M2taWOCzp3GDKmm1suDJ0hFfNjajw==',M,B,Knoxville,PA,False,attack,Not fleeing,False,b'gAAAAABl4lkMzBTkX-r00G2fXy9O_10acfx-BMB2-pDIvRYDjUH00qMCW0nneA4HnHmmi8ri6F62KYyq0LZTjxr3B0R3KTM_Sw==',b'gAAAAABl4lkNzbqbVBFtE-oyVbzKcvKcwnFkUI9LxT-u7Stz_kqGLxA5frO-eY1otXi2Cro2LcEl9SQtEeoN00rTEiBcAGJ9zQ==',True
19,b'gAAAAABl4lkMVoxwV3D9I0MWkoLaod4bPTHQ98fpfmWoV3byj97K_riC_4ABGWUd2Prjy0uUuRoYMC_IUMgtdOEBVJF290k5vg==',2015-01-06,shot and Tasered,knife,b'gAAAAABl4lkMC2G7vo8Do0-W_bUeZ7lbnTNFBjuQqEcS1avHE68neNcUpUq2GKGoHJe1RcLug-7BTUe-UPWcCRGgenze53ko0g==',M,W,Stockton,CA,False,attack,Not fleeing,False,b'gAAAAABl4lkMKnVyW1wiC5e2uwRb4jLbFEmEMgneyaQbQjlhWYoe6XZeA0H17IMgHvoXhLDvi3_73WttEDa1oN152Y_sDBwIUA==',b'gAAAAABl4lkNX4qoOEUiUQpzV0_rZjxJFkfvqvCbRI0sDWaf41Ut3tHaakY_WmK7VvFGg4Jmv__vMdXXBGl_RI4WajJ-jA1Suw==',True
21,b'gAAAAABl4lkM5sNmBb0Kx8sOeZKBTvz6egg2FdAOYtWKbf_8cW3TtJBiNUSxNfdk5o4iseS37x8d4k58Z2WKpFDNL3Fp9x6BIQ==',2015-01-07,shot,gun,b'gAAAAABl4lkM-2b_WyjjBPHRPYEPjKPx5SPaG_qHxRNmZPPpe6_9pNEAzDhIU3yu1QCJpTVJRQePRKY5Tg0NwTDh0MpQlNMNkA==',M,B,Freeport,TX,False,attack,Not fleeing,False,b'gAAAAABl4lkMURXyuckM_XvyVI049YnmdZVfSn553JPaeSEDia0ZL2ok6mGT43NOjELj4CBPKMu7qo-qWIEhwdfaV3v54LkGvA==',b'gAAAAABl4lkNwskP7jMusNc_sFKzCXkL4cj3Dti_KhTcH_E_iYzFspDUCk30-7jMpNAKMyKhcJd2koAZiXtShPz_HEiYfwWYpA==',True
22,b'gAAAAABl4lkMk7Cw1yc_ghjk5eJvAaUmuwSNj8IK5E3moToqlonSYURllGXOxbeb2Zpf2UFg-ykO0hsI7Gwo2tyYIjXqIeYQrjdZ5Z-s8vGFzByQBen0XFc=',2015-01-07,shot,knife,b'gAAAAABl4lkMLgtKbnWXZSkP7RRuIVGYrS7YyW4nGAZatEqXL4T1zKTiVz9RPFZTxIdiL3rnOgr4V-nygWqXwrJUmnsZ3qpWnQ==',M,B,Columbus,OH,True,other,Not fleeing,False,b'gAAAAABl4lkMB3dAUTe4FHb75ysxcqALjpQsbYknPvIogqqUBZEUyZ1CrpbiMjoD-RtnOCq7tRs_1wDj-gHRp058h-nSNjjkLQ==',b'gAAAAABl4lkNYwl4PrflgWnvcDhyARSESY8ATp4GHOQaDCuV5jCXMDv1LmR9uI_H_XNuqlkrz5DzgLt6Dv9PuURHv2QHJZGUyw==',True
25,b'gAAAAABl4lkMhSkROnL5EbA95wDOHkxega9Ac8PCozMuJkENB85cvk4YLF-TDAbtB2uo2g0RzVoz6Zn2orZNh-L91UKuWbs8JRgigYy7RFZ8vFOZexzaEg0=',2015-01-07,shot,gun,b'gAAAAABl4lkMjIKmQK8frFT5lPuphe9rsK3iUs-Bx3pK9BZ--OIXXu33UBDj4n4OgfrtJpD42tDLzKmkJ9ZaWpPQLSGp0BTmRw==',M,W,Des Moines,IA,False,attack,Car,False,b'gAAAAABl4lkMNQJA01VFhC4oOj24xgFt3u6S0OmwrYrZlOO5K1DJi0Lo8pMZE4s0QIDwaH7xoFOSNz4SsOXU_IbhoG87XZ9zTg==',b'gAAAAABl4lkNw7RLrjzIyokFCnvYiM0On0wCqMhLKgHzdSd_-QxpZGnuJodF2EuAP9mbORSxoJmEc9MjhfhESgN8kCDsms_fFA==',True
27,b'gAAAAABl4lkMLl5npfZRscmYBf6FB0aCh0CzsrD6nd7VeXTrWRNpT8CTa5ad1tPyFGIXmYb-cVT3gBMiCYkG-Wt57ZHbKHA9qkzfoAEC5W-wD82wgn0cirYQHIp27cIKZp6rdepsIPE7',2015-01-07,shot,gun,b'gAAAAABl4lkMW0lmu-XberWdqRTuhvXA2drGJbNFFbjL1WxT3KK1efrUFaXgqQSudoRlUDLqyC6Ox95zQhBDwvtXOkk7iyouNg==',M,B,New Orleans,LA,False,attack,Foot,True,b'gAAAAABl4lkM2lG7Qxl0U7J_RGiJNAtXN9UvFIG5DYz-OjY1baqm3-lbuiGvUwsu92550yRMSy25k1swgLVD2svllnShQOrpIg==',b'gAAAAABl4lkNdIQtZp0Vv0V0p2x0vL8Ir0ngz7YxlQRaGSij3EFUumviVCuVfMh9tKVq5p9Oy18heol_BX5GvVx-g9T1s8yHZA==',True
29,b'gAAAAABl4lkMCI-N5m8lIMbYyyzpS50LHWBG98lspZIU2BZ2o-JIjMwGYK2wJknJt9feDKQOXCCTigjaf8Xgp5YBzYbGJxrK-A==',2015-01-08,shot,,b'gAAAAABl4lkMQPsuLLvnGhAfEhlQzv1PWj4uTfTqcWLHqAvUP6elnWHlCosD6kWoRfyf2oYtYRogmpUoR6vzWOmx-I7OKuFClg==',M,W,Huntley,MT,False,undetermined,Not fleeing,False,b'gAAAAABl4lkMkHygx6ODaOYHiXkQa43CNJasPhvJA5ZRukmzeGrACXGtT8tgxDPNTihYKVnM9dHsaLgGXkXMgcy_-o7jMJzvNQ==',b'gAAAAABl4lkN6SFcBg74DwaWjC0ecRDHnE_sp7Ifks2mbu_KgOgSTWFZgo9iGAu_P84-ZeSulJ4fGJW5gYimbViuHCgj4a5nbw==',True
32,b'gAAAAABl4lkMjiCAEN0LkjEd-rkgir7k5NuQj6g-caEcJVs8nqS9dAwfOsU8HdBWy7HA_VC2_SIayBe5YjokzdVy8JYEEtg2vKBzyf3A5lBrDEpUboCTdpU=',2015-01-08,shot,shovel,b'gAAAAABl4lkMvqgQBaR0J2310oH74Tnx0LEq4LC_LiXK49Z1spKrxRWSBSDL7mT8PaAWHlA4VywqX9RAOmDDEiy3EHVjMZZMIQ==',M,W,Salt Lake City,UT,False,attack,Not fleeing,True,b'gAAAAABl4lkMyzys0YRWUcxICm9qJz4J-_QgDF-oZ0jSwdywolPTFJSK_oY1XOGxfwjbQF0KmqETaPY4dnMvWRSGTLRD4LW37g==',b'gAAAAABl4lkNDaGicd-JBJd0loxg32brRjz4y9T-87iCOtZ_A2T2e6dDrEzkkykO9C6RYuzHej2POzS0fEP6P9gZqDlGWU3UFg==',True
36,b'gAAAAABl4lkMa6zXiT0FN9-hG16HwWollw-4UIzriQ8Dah5knrATmE65Z9kaCrHDqZDW9A3uJNrVVIV9BaCb10E9QC4GrpSSCTBV0yw7OolvT1SWOeBuhAY=',2015-01-08,shot,unarmed,b'gAAAAABl4lkMkU9S3_294Jc0L58OrxuPfR9BABZ2nhurb28HPVLrqUXv7Y-ak1p9tkxqyTIVTRdPP0_tVovpE911F5YBfXu29Q==',M,B,Strong,AR,False,attack,Not fleeing,False,b'gAAAAABl4lkMHrKchDqj5PNE8fTKddBycrWS85gdFxNhFeYy-sxGWhFaLAS-0ptlEaBX0Pu1xKQHl_criBNMYCKXvPJlBQpMZQ==',b'gAAAAABl4lkN68Ihpx1VPnjiWm85YjKYqrgAoOkRpnxUKv3JZEzIPUEb7sKB0PTMnsRBReV_vcIl0_N98vAnC-pMfEzc6IUnMQ==',True
